authority,mint,lon,lat,issues
theodosius_ii,ravenna,12.196604,44.415718,2
theodosius_ii,antiocheia_syria,36.15,36.2,4
theodosius_ii,heraclea_thracica,27.95528,40.97003,8
theodosius_ii,alexandreia_egypt,29.909773,31.201435,4
theodosius_ii,aquileia,13.364601,45.768259,8
theodosius_ii,cyzicus,27.892255,40.381323,13
theodosius_ii,mediolanum,9.18806,45.463746,1
theodosius_ii,thessalonica,22.95,40.633333,27
theodosius_ii,nicomedia,29.916667,40.766667,11
theodosius_ii,constantinople,28.976018,41.01224,194
valentinian_iii,ravenna,12.196604,44.415718,35
valentinian_iii,treveri,6.641389,49.756667,12
valentinian_iii,aquileia,13.364601,45.768259,1
valentinian_iii,mediolanum,9.18806,45.463746,7
valentinian_iii,rome,12.5,41.9,131
marcian,ravenna,12.196604,44.415718,2
marcian,antiocheia_syria,36.15,36.2,5
marcian,heraclea_thracica,27.95528,40.97003,4
marcian,cyzicus,27.892255,40.381323,6
marcian,mediolanum,9.18806,45.463746,2
marcian,thessalonica,22.95,40.633333,5
marcian,nicomedia,29.916667,40.766667,13
marcian,constantinople,28.976018,41.01224,37
marcian,rome,12.5,41.9,1
petronius_maximus,rome,12.5,41.9,2
petronius_maximus,ravenna,12.196604,44.415718,1
avitus,arelate,4.630799,43.677616,2
avitus,rome,12.5,41.9,6
avitus,mediolanum,9.18806,45.463746,5
majorian,ravenna_com,12.196604,44.415718,8
majorian,ravenna,12.196604,44.415718,10
majorian,mediolanum,9.18806,45.463746,14
majorian,arelate_com,4.62861,43.67694,8
libius_severus,rome,12.5,41.9,7
libius_severus,ravenna,12.196604,44.415718,2
libius_severus,mediolanum,9.18806,45.463746,9
leo_i,ravenna,12.196604,44.415718,5
leo_i,antiocheia_syria,36.15,36.2,2
leo_i,heraclea_thracica,27.95528,40.97003,5
leo_i,alexandreia_egypt,29.909773,31.201435,2
leo_i,cyzicus,27.892255,40.381323,5
leo_i,mediolanum,9.18806,45.463746,13
leo_i,thessalonica,22.95,40.633333,17
leo_i,nicomedia,29.916667,40.766667,10
leo_i,constantinople,28.976018,41.01224,74
leo_i,rome,12.5,41.9,16
anthemius,ravenna,12.196604,44.415718,18
anthemius,rome,12.5,41.9,66
anthemius,mediolanum,9.18806,45.463746,21
olybrius,rome,12.5,41.9,3
olybrius,mediolanum,9.18806,45.463746,1
glycerius,ravenna,12.196604,44.415718,8
glycerius,mediolanum,9.18806,45.463746,3
leo_ii,constantinople,28.976018,41.01224,8
basiliscus,ravenna,12.196604,44.415718,5
basiliscus,cyzicus,27.892255,40.381323,2
basiliscus,mediolanum,9.18806,45.463746,8
basiliscus,thessalonica,22.95,40.633333,3
basiliscus,nicomedia,29.916667,40.766667,1
basiliscus,constantinople,28.976018,41.01224,26
basiliscus,rome,12.5,41.9,3
romulus_augustulus,arelate,4.630799,43.677616,1
romulus_augustulus,rome,12.5,41.9,12
romulus_augustulus,ravenna,12.196604,44.415718,1
romulus_augustulus,mediolanum,9.18806,45.463746,7
julius_nepos,arelate,4.630799,43.677616,1
julius_nepos,rome,12.5,41.9,11
julius_nepos,ravenna,12.196604,44.415718,7
julius_nepos,mediolanum,9.18806,45.463746,25
odoacer,ravenna,12.196604,44.415718,2
zeno,ravenna,12.196604,44.415718,26
zeno,antiocheia_syria,36.15,36.2,9
zeno,cyzicus,27.892255,40.381323,6
zeno,mediolanum,9.18806,45.463746,24
zeno,thessalonica,22.95,40.633333,8
zeno,nicomedia,29.916667,40.766667,4
zeno,constantinople,28.976018,41.01224,52
zeno,rome,12.5,41.9,17
leontius,antiocheia_syria,36.15,36.2,3
