mint,lon,lat
crithote,26.651664,40.406725
cromna,32.7220917,41.8439896
croton,17.12708,39.080763
ctesiphon,44.580556,33.093611
cumae,14.056082,40.847123
cunbaria,-5.9834719,36.9761239
curium,32.8877,34.6642
cyane,29.815759,36.246592
cybistra,34.078761,37.517006
cyclades,25.166667,37.0
cydonia,24.016667,35.516667
cyme_aeolis,26.942154,38.761848
cyme_euboea,24.1,38.633333
cyparissia,21.681159,37.248527
cypsela,26.394999,40.930067
cyrene,21.85727,32.823041
cyrrhus,36.948956,36.734662
cys,28.423734,37.428882
cythera,22.978222,36.262287
cythnos,24.429784,37.412293
cyzicus,27.892255,40.381323
dahlonega,-83.984722,34.530556
daldis,28.142602,38.668404
dalisandus,32.5,37.65
damascus,36.292,33.513
damastium,20.75,41.083333
damighan,54.34292,36.1679
daniyah,-0.13098,38.53816
daorsia,18.872278,43.619654
dar_al-marz_rasht,49.58319,37.28077
dar_al-salam_baghdad,44.40088,33.34058
darabjird,54.54444,28.75194
darbend,38.07167,45.50667
dardanus,26.37442,40.079727
darmstadt,8.65,49.866666666667
darulhilafet_aliye,28.94966,41.01384
dascyleium,28.062536,40.138708
delhi,77.23149,28.65195
delos,25.26904,37.38948
delphi,22.502106,38.484114
demetrias_syria,36.309102,33.511612
demetrias_thessaly,22.92065,39.344269
denver,-104.984722,39.739167
derbe,33.163889,37.438889
derrones,21.36,41.25
dertosa,0.520955,40.811004
dessau,12.246111111111,51.834166666667
detmold,8.883333,51.933333
deultum,27.266667,42.4
deutz,6.987778,50.934722
dia,31.123807,41.087499
dicaea_macedon,22.947121,40.460491
dicaea_thrace,25.165653,40.99287
dimashq,36.29128,33.5102
diocaesareia_cilicia,33.914642,36.578602
diocleia,29.942013,38.682465
dionysopolis_phrygia,29.411864,38.233858
dionysopolis_thrace,28.162771,43.42563
dioscome,29.595458,38.630906
dioscurias,41.003076,42.993299
dioshieron,28.083254,38.227646
diospolis,34.891688,31.965599
dipaea-achaean_league,22.254905,37.541156
dipo,-7.43,39.292
dium_macedon,22.486065,40.172688
docimeium,30.750706,38.862583
dodona,20.793225,39.546507
doliche,37.359985,37.153671
donauwoerth,10.8,48.7
dora,34.927477,32.615982
dorsten,6.964167,51.66
dortmund,7.466667,51.516667
dorylaeum,30.51684,39.77489
dresden,13.733333,51.033333
dueren,6.4833333333333,50.8
duesseldorf,6.783333,51.233333
duisburg,6.762692,51.435147
dunaysir,44.16797,29.46224
dura-europus,40.73,34.747
dyme,21.551425,38.144625
dyrrhachium,19.45,41.316667
eberswalde,13.833055555556,52.833055555556
ebora,-7.909615,38.570846
ebura_cerealis,-3.916667,37.45
ebusus,1.432146,38.908393
ecbatana,48.516247,34.8065
eccarra,22.21147,39.08032
echinus,20.9101152,38.9082666
edessa_macedon,22.05076,40.80226
edessa_mesopotamia,38.776168,37.176482
edirne,26.55597,41.67719
edoni,23.81,40.89
eichstaett,11.183888888889,48.891944444444
einbeck,9.8666666666667,51.816666666667
eion,23.855317,40.788411
eisenach,10.324444444444,50.974722222222
eisleben,11.55,51.516666666667
ekualakos,-7.798889,41.101667
elaea,27.055256,38.941644
elaeus,26.223326,40.054457
elaeusa,34.174114,36.483812
elateia,22.764982,38.626349
elea,20.560388,39.444248
eleusis,23.533333,38.033333
eleutherna,24.684822,35.328097
eleutheropolis,34.887973,31.62077
elizabeth_town_new_jersey,-74.209167,40.662222
eltville,8.1200694444444,50.025
elyrus,23.794048,35.283178
emden,7.2061111111111,53.366944444444
emerita,-6.34567,38.916159
emisa,36.724237,34.751899
emporiae,3.108503,42.132111
enna,14.279558,37.567652
ensisheim,7.3525,47.865555555556
